orderid,shopid,userid,event_time
31120600000000,67960532,197681,12/27/19 12:36
31119400000000,93861688,558390,12/27/19 12:16
31140800000000,30988921,621106,12/27/19 18:12
31249200000000,147941492,568370,12/29/19 0:20
31332900000000,81057240,555270,12/29/19 23:34
31255600000000,61556313,10555,12/29/19 2:06
31290600000000,88486533,768268,12/29/19 11:50
31315600000000,162967591,647586,12/29/19 18:46
31315600000000,29979455,73479,12/29/19 18:46
31289400000000,203663118,800721,12/29/19 11:29
31250200000000,147941492,218823,12/29/19 0:37
31327400000000,17628187,574279,12/29/19 22:03
31248400000000,92566917,571689,12/29/19 0:06
31289900000000,147941492,852561,12/29/19 11:39
31324100000000,163332397,686169,12/29/19 21:07
31323700000000,61556313,139590,12/29/19 21:01
31460100000000,73215945,13199,12/31/19 10:54
31472700000000,165001596,208020,12/31/19 14:24
31427200000000,147941492,757001,12/31/19 1:46
31481200000000,135041619,643132,12/31/19 16:47
31162200000000,130099246,405978,12/28/19 0:09
31229100000000,147398485,405148,12/28/19 18:45
31198200000000,153849290,819488,12/28/19 10:09
31207600000000,91799978,832094,12/28/19 12:46
31173100000000,64917141,202806,12/28/19 3:12
31240300000000,130101638,219065,12/28/19 21:51
31366600000000,144996818,293613,12/30/19 8:57
31361100000000,151146454,33510,12/30/19 7:24
31392800000000,45828982,11918,12/30/19 16:12
31405500000000,9689507,563130,12/30/19 19:45
31420600000000,14924365,275586,12/30/19 23:56
31390300000000,122144507,66783,12/30/19 15:32
31492300000000,57189823,517994,12/31/19 19:50
31449700000000,32228742,582453,12/31/19 8:01
31440400000000,147941492,569548,12/31/19 5:26
31476100000000,104801795,654009,12/31/19 15:22
31424800000000,27998060,541312,12/31/19 1:06
31486300000000,118548742,543036,12/31/19 18:11
31232400000000,183477680,717982,12/28/19 19:39
31167800000000,153410043,621106,12/28/19 1:42
31203700000000,161840722,638190,12/28/19 11:40
31219700000000,10100,495431,12/28/19 16:07
31166400000000,179920846,562339,12/28/19 1:19
31208000000000,147941492,40080,12/28/19 12:53
31235000000000,61556313,823354,12/28/19 20:24
31212600000000,127249066,759516,12/28/19 14:10
31204300000000,78509316,944731,12/28/19 11:52
31215500000000,162272095,704393,12/28/19 14:58
31226100000000,13779275,23324,12/28/19 17:55
31236700000000,106050474,75939,12/28/19 20:51
31220200000000,126639670,239686,12/28/19 16:16
31199100000000,10287,495270,12/28/19 10:24
31373900000000,59599139,508484,12/30/19 10:58
31334900000000,17911218,225445,12/30/19 0:08
31396600000000,118975891,335415,12/30/19 17:15
31339700000000,110868129,120406,12/30/19 1:28
31383000000000,51960315,432459,12/30/19 13:29
31409000000000,178465309,955436,12/30/19 20:44
31363300000000,39938958,615049,12/30/19 8:00
31317900000000,64492135,247226,12/29/19 19:24
31304700000000,104804527,196154,12/29/19 15:45
31289000000000,61556313,935325,12/29/19 11:23
31291600000000,99831506,245515,12/29/19 12:06
31282800000000,110868046,627173,12/29/19 9:39
31331900000000,83764530,731791,12/29/19 23:18
31287800000000,801940,461754,12/29/19 11:03
31331700000000,164768716,166979,12/29/19 23:15
31292300000000,3711886,75939,12/29/19 12:18
31325600000000,193422616,829223,12/29/19 21:33
31116600000000,2153811,842605,12/27/19 11:29
31161600000000,145711550,874329,12/27/19 23:59
31156000000000,61556313,452681,12/27/19 22:27
31137400000000,90483698,809645,12/27/19 17:16
31077300000000,64112888,179297,12/27/19 0:34
31134400000000,128299162,982952,12/27/19 16:26
31127000000000,16727847,90835,12/27/19 14:23
31076600000000,183758134,190667,12/27/19 0:23
31120200000000,95763943,744469,12/27/19 12:29
31148900000000,117079252,447538,12/27/19 20:28
31135700000000,31989591,399495,12/27/19 16:47
31110200000000,78375612,598098,12/27/19 9:43
31078800000000,1012462,177708,12/27/19 1:00
31117900000000,40959403,536892,12/27/19 11:52
31159700000000,54615708,898952,12/27/19 23:28
31151500000000,2228395,11279,12/27/19 21:12
31130500000000,165001596,885738,12/27/19 15:21
31142100000000,121727827,227294,12/27/19 18:34
31140600000000,155382408,606474,12/27/19 18:09
31161100000000,166672032,218468,12/27/19 23:51
31115500000000,34229630,645420,12/27/19 11:11
31311800000000,11238223,695005,12/29/19 17:44
31298200000000,39938958,75177,12/29/19 13:57
31328500000000,26519437,17787,12/29/19 22:21
31373300000000,135054284,112000,12/30/19 10:48
31392800000000,198413743,11918,12/30/19 16:12
31416500000000,8966656,431554,12/30/19 22:47
31363800000000,19123899,781253,12/30/19 8:10
31374500000000,31844790,511518,12/30/19 11:09
31381300000000,32504026,548263,12/30/19 13:01
31388800000000,147941492,63895,12/30/19 15:06
31408100000000,39315928,10165,12/30/19 20:28
31343800000000,187166408,282886,12/30/19 2:36
31335800000000,45348627,936018,12/30/19 0:22
31371100000000,61556313,36698,12/30/19 10:12
31378100000000,61556313,220222,12/30/19 12:07
31458000000000,11896733,450057,12/31/19 10:19
31427800000000,149779841,22059,12/31/19 1:57
31427200000000,54615708,23251,12/31/19 1:46
31465600000000,147941492,292242,12/31/19 12:25
31467100000000,27301695,237874,12/31/19 12:52
31503200000000,115179739,75177,12/31/19 22:52
31483300000000,161929554,94707,12/31/19 17:21
31422900000000,9690513,120755,12/31/19 0:35
31482300000000,40979499,239275,12/31/19 17:05
31192500000000,49092904,690448,12/28/19 8:35
31225300000000,108071059,890037,12/28/19 17:41
31182600000000,208782818,696846,12/28/19 5:50
31197600000000,45693167,137372,12/28/19 10:00
31325800000000,45512569,35220,12/29/19 21:36
31328600000000,185596615,208904,12/29/19 22:23
31305100000000,51686788,912538,12/29/19 15:51
31304200000000,86693216,874544,12/29/19 15:36
31327200000000,147627088,230797,12/29/19 21:59
31296700000000,64516548,572511,12/29/19 13:31
31307100000000,187532720,762338,12/29/19 16:25
31308300000000,182893262,531368,12/29/19 16:44
31314900000000,169900491,918842,12/29/19 18:34
31325300000000,11870800,735823,12/29/19 21:27
31249700000000,97372033,233016,12/29/19 0:27
31295700000000,147941492,359816,12/29/19 13:14
31391900000000,89768730,965148,12/30/19 15:57
31409100000000,18718983,755880,12/30/19 20:45
31403900000000,164992777,245635,12/30/19 19:19
31340000000000,3589981,565086,12/30/19 1:32
31409700000000,61556313,996987,12/30/19 20:54
31378600000000,38670688,823473,12/30/19 12:16
31338300000000,45828982,425354,12/30/19 1:05
31145300000000,111164466,207331,12/27/19 19:27
31093600000000,75777351,645148,12/27/19 5:06
31149400000000,638464,141425,12/27/19 20:37
31160700000000,10287,875954,12/27/19 23:45
31158300000000,73120749,10359,12/27/19 23:05
31076700000000,41293031,93595,12/27/19 0:25
31081500000000,406582,713487,12/27/19 1:45
31122700000000,107932444,846715,12/27/19 13:10
31160400000000,7595687,204545,12/27/19 23:40
31088000000000,132956305,257421,12/27/19 3:32
31465700000000,147941492,428601,12/31/19 12:28
31426800000000,129666528,687915,12/31/19 1:40
31470700000000,148045360,261510,12/31/19 13:51
31506300000000,51960315,222800,12/31/19 23:45
31421900000000,131670660,279433,12/31/19 0:18
31427600000000,30101998,19061,12/31/19 1:53
31162200000000,68478964,405978,12/28/19 0:09
31246300000000,48697397,87391,12/28/19 23:31
31206500000000,151937807,44435,12/28/19 12:28
31246700000000,203663610,840891,12/28/19 23:39
31163000000000,129915253,173658,12/28/19 0:23
31191300000000,26633463,15958,12/28/19 8:14
31239400000000,16573133,980057,12/28/19 21:37
31427800000000,104804366,22059,12/31/19 1:56
31491900000000,84301799,642528,12/31/19 19:45
31475100000000,119544181,807441,12/31/19 15:05
31468000000000,939904,659350,12/31/19 13:06
31458300000000,10159,802231,12/31/19 10:25
31473200000000,203728133,236098,12/31/19 14:32
31196700000000,175697852,258538,12/28/19 9:45
31206200000000,171956372,569578,12/28/19 12:22
31226100000000,50120282,629760,12/28/19 17:55
31229700000000,60586272,399560,12/28/19 18:54
31325500000000,93358941,659277,12/29/19 21:31
31306400000000,130117958,757001,12/29/19 16:13
31259000000000,126639670,94709,12/29/19 3:03
31304400000000,71007784,20470,12/29/19 15:40
31295700000000,61556313,359816,12/29/19 13:14
31312400000000,61556313,139122,12/29/19 17:53
31123500000000,95137178,418586,12/27/19 13:24
31114300000000,69032260,563847,12/27/19 10:51
31132900000000,199316386,819488,12/27/19 16:01
31402500000000,162584586,29701,12/30/19 18:54
31392800000000,5354812,11918,12/30/19 16:12
31360600000000,144969458,801495,12/30/19 7:16
31412700000000,91459669,690448,12/30/19 21:45
31391000000000,12666270,795095,12/30/19 15:42
31416200000000,123147153,448394,12/30/19 22:43
31392500000000,50970673,337615,12/30/19 16:08
31391900000000,55942169,143694,12/30/19 15:58
31295300000000,147941492,220361,12/29/19 13:09
31277200000000,193414552,245787,12/29/19 8:06
31322700000000,61556313,798534,12/29/19 20:44
31330100000000,12067888,485706,12/29/19 22:48
31284100000000,50978451,664956,12/29/19 10:02
31415000000000,38323741,223689,12/30/19 22:24
31359700000000,147941492,964996,12/30/19 7:01
31418600000000,173553512,624632,12/30/19 23:22
31412800000000,21474926,69159,12/30/19 21:45
31471300000000,107148254,18644,12/31/19 14:01
31503200000000,9208160,229062,12/31/19 22:52
31432500000000,76210086,33510,12/31/19 3:14
31453600000000,78532410,19011,12/31/19 9:06
31506600000000,147941492,245635,12/31/19 23:50
31495400000000,75603759,300461,12/31/19 20:42
31460800000000,10452,821666,12/31/19 11:07
31504300000000,155143347,545608,12/31/19 23:11
31473400000000,152911294,45748,12/31/19 14:37
31207100000000,145269645,235104,12/28/19 12:37
31245300000000,65362355,237714,12/28/19 23:15
31201600000000,134972817,429022,12/28/19 11:06
31194600000000,171663714,620993,12/28/19 9:09
31228100000000,95458810,288314,12/28/19 18:28
31161700000000,147941492,921721,12/28/19 0:00
31126000000000,58541919,347165,12/27/19 14:06
31127400000000,134301558,220165,12/27/19 14:30
31114800000000,195655303,727382,12/27/19 10:59
31082400000000,54615708,188683,12/27/19 2:00
31137900000000,134972402,214477,12/27/19 17:24
31161000000000,173811070,260379,12/27/19 23:50
31113000000000,16174733,479465,12/27/19 10:30
31416300000000,99608689,276278,12/30/19 22:45
31416700000000,91785726,52635,12/30/19 22:51
31373100000000,130099246,689613,12/30/19 10:44
31376300000000,116348321,409876,12/30/19 11:38
31416600000000,54615708,859931,12/30/19 22:50
31397200000000,99201775,11918,12/30/19 17:27
31253400000000,50122931,129187,12/29/19 1:30
31252000000000,109890037,670353,12/29/19 1:07
31327600000000,181142410,303042,12/29/19 22:06
31248400000000,135054910,571689,12/29/19 0:06
31299800000000,96757689,218448,12/29/19 14:23
31251000000000,97168062,905145,12/29/19 0:49
31318600000000,133312433,696432,12/29/19 19:36
31158300000000,53506253,85769,12/27/19 23:05
31078200000000,139095346,247893,12/27/19 0:49
31141900000000,12990524,887230,12/27/19 18:30
31125100000000,129017308,652017,12/27/19 13:51
31151100000000,195867159,696846,12/27/19 21:04
31077600000000,120337397,237014,12/27/19 0:40
31140900000000,19754095,534108,12/27/19 18:15
31116500000000,206014204,238688,12/27/19 11:28
31145700000000,11211738,437516,12/27/19 19:34
31465100000000,147941492,294744,12/31/19 12:17
31465700000000,61556313,667333,12/31/19 12:27
31427900000000,4303950,170551,12/31/19 1:58
31497800000000,31733346,219099,12/31/19 21:22
31208000000000,84301799,993204,12/28/19 12:53
31199100000000,35925244,495270,12/28/19 10:24
31214300000000,24013303,833330,12/28/19 14:38
31242700000000,91542691,13493,12/28/19 22:32
31204000000000,61556313,486587,12/28/19 11:47
31170900000000,138638581,819488,12/28/19 2:34
31222800000000,33380999,256846,12/28/19 17:00
31205100000000,63002245,42474,12/28/19 12:05
31476800000000,18785085,228012,12/31/19 15:34
31421800000000,110871170,696712,12/31/19 0:16
31501600000000,95230207,536221,12/31/19 22:26
31476100000000,32333759,654009,12/31/19 15:22
31467800000000,54615708,454067,12/31/19 13:03
31504100000000,143281052,666996,12/31/19 23:08
31500700000000,3536814,45251,12/31/19 22:11
31203300000000,205508993,16582,12/28/19 11:34
31239300000000,156177985,403460,12/28/19 21:35
31218800000000,67729795,627167,12/28/19 15:52
31234700000000,11474437,13268,12/28/19 20:18
31230000000000,153746042,256846,12/28/19 18:59
31211300000000,43412276,636115,12/28/19 13:47
31075700000000,152974049,10510,12/27/19 0:07
31114800000000,169215847,727382,12/27/19 10:59
31111000000000,4946603,566456,12/27/19 9:56
31123500000000,64394406,418586,12/27/19 13:24
31137700000000,61556313,556616,12/27/19 17:21
31124800000000,45096,852283,12/27/19 13:46
31412600000000,140201236,218888,12/30/19 21:42
31403600000000,99833363,518246,12/30/19 19:13
31386200000000,93363430,202462,12/30/19 14:24
31340600000000,30989218,210494,12/30/19 1:42
31416500000000,103741069,10447,12/30/19 22:48
31366600000000,120358496,293613,12/30/19 8:57
31420500000000,73302121,224332,12/30/19 23:54
31275400000000,82589739,983062,12/29/19 7:37
31329400000000,95236751,656411,12/29/19 22:37
31256400000000,12852945,502793,12/29/19 2:20
31282200000000,150722,488352,12/29/19 9:30
31280000000000,163135896,90311,12/29/19 8:53
31332400000000,76818455,225454,12/29/19 23:26
31304000000000,57189823,137999,12/29/19 15:33
31332400000000,45870411,846319,12/29/19 23:26
31252700000000,63381431,233016,12/29/19 1:17
31301800000000,92566917,914235,12/29/19 14:56
31248100000000,142401765,659624,12/29/19 0:01
31253700000000,147941492,188523,12/29/19 1:34
31295700000000,134968920,612709,12/29/19 13:14
31293200000000,73302121,388741,12/29/19 12:33
31333700000000,129725689,294744,12/29/19 23:47
31496900000000,4303950,189782,12/31/19 21:08
31481400000000,35513093,685849,12/31/19 16:50
31465500000000,147941492,451460,12/31/19 12:25
31472900000000,110179054,398781,12/31/19 14:28
31495600000000,61556313,802717,12/31/19 20:46
31427600000000,78509316,19061,12/31/19 1:53
31470700000000,33242381,640540,12/31/19 13:51
31424700000000,147941492,220031,12/31/19 1:05
31428200000000,533943,836395,12/31/19 2:03
31246600000000,1491393,643710,12/28/19 23:36
31163500000000,175697852,748208,12/28/19 0:30
31220900000000,61556313,10388,12/28/19 16:28
31359200000000,83318079,232381,12/30/19 6:52
31387100000000,84301799,38100,12/30/19 14:38
31409500000000,132656476,218514,12/30/19 20:51
31339700000000,129924052,120406,12/30/19 1:28
31336300000000,133088472,81780,12/30/19 0:31
31379200000000,52440733,769766,12/30/19 12:27
31382900000000,73120749,14109,12/30/19 13:28
31419500000000,130117958,10408,12/30/19 23:37
31378400000000,1175477,506133,12/30/19 12:13
31380500000000,61556313,500107,12/30/19 12:48
31080700000000,54615708,711654,12/27/19 1:31
31123500000000,116498940,418586,12/27/19 13:24
31137100000000,110641390,912538,12/27/19 17:11
31131000000000,65885335,544755,12/27/19 15:30
31156400000000,42472,740844,12/27/19 22:33
31078600000000,87037251,632943,12/27/19 0:56
31086600000000,48125852,34931,12/27/19 3:10
31111100000000,171554188,425745,12/27/19 9:57
31102400000000,102733707,296629,12/27/19 7:33
31503700000000,801940,666996,12/31/19 23:02
31452200000000,43412276,710355,12/31/19 8:43
31461100000000,406582,621377,12/31/19 11:11
31498300000000,61811194,757980,12/31/19 21:30
31471900000000,90555315,669360,12/31/19 14:11
31423900000000,139094380,122554,12/31/19 0:52
31483800000000,50969655,967357,12/31/19 17:30
31201000000000,64909117,508484,12/28/19 10:56
31210100000000,29583,92968,12/28/19 13:27
31226100000000,167804550,629760,12/28/19 17:55
31240300000000,51960315,219065,12/28/19 21:51
31153100000000,50968872,346742,12/27/19 21:38
31135700000000,135041701,399495,12/27/19 16:47
31156000000000,11241526,237597,12/27/19 22:27
31313700000000,57885771,712374,12/29/19 18:14
31285900000000,146141301,508484,12/29/19 10:32
31316700000000,91487219,971837,12/29/19 19:04
31306900000000,147173673,428760,12/29/19 16:22
31251700000000,127826290,245515,12/29/19 1:00
31301500000000,15236712,562339,12/29/19 14:51
31274600000000,7333722,20470,12/29/19 7:23
31361600000000,2529469,11293,12/30/19 7:33
31370200000000,147941492,639316,12/30/19 9:56
31412200000000,32504026,71092,12/30/19 21:37
31403800000000,240309,27567,12/30/19 19:16
31386400000000,195868216,26661,12/30/19 14:27
31338100000000,105378074,640043,12/30/19 1:02
31420200000000,66375902,216370,12/30/19 23:49
31384800000000,51771903,428256,12/30/19 13:59
31375100000000,141603595,284471,12/30/19 11:19
31412700000000,111011066,101603,12/30/19 21:44
31385000000000,61556313,160582,12/30/19 14:03
31340600000000,52942194,210494,12/30/19 1:42
31366600000000,61556313,917783,12/30/19 8:55
31418700000000,112495214,406024,12/30/19 23:24
31369200000000,160466135,666365,12/30/19 9:40
31403000000000,126605686,11918,12/30/19 19:04
31395600000000,50205469,519940,12/30/19 16:59
31418700000000,155106221,406024,12/30/19 23:24
31416000000000,145169506,258427,12/30/19 22:39
31395600000000,40264094,519940,12/30/19 16:59
31337100000000,86446335,598185,12/30/19 0:45
31379700000000,46313668,904026,12/30/19 12:35
31137200000000,75214608,145711,12/27/19 17:13
31125100000000,164062377,530390,12/27/19 13:52
31459000000000,101667372,770499,12/31/19 10:37
31494700000000,63000976,554371,12/31/19 20:32
31424800000000,172186839,541312,12/31/19 1:06
31471300000000,13830581,18644,12/31/19 14:01
31488500000000,175697852,921721,12/31/19 18:48
31462200000000,84713261,955293,12/31/19 11:30
31497100000000,122218940,640705,12/31/19 21:11
31424600000000,92567513,817280,12/31/19 1:02
31493500000000,12076626,962913,12/31/19 20:11
31232500000000,140937896,997848,12/28/19 19:42
31227000000000,127249066,964996,12/28/19 18:09
31165700000000,43524023,785199,12/28/19 1:08
31245900000000,139614194,111272,12/28/19 23:24
31196600000000,100701712,818289,12/28/19 9:43
31252100000000,50970067,892149,12/29/19 1:08
31295500000000,61359433,634347,12/29/19 13:11
31289500000000,75985602,604512,12/29/19 11:31
31328600000000,208265257,515461,12/29/19 22:23
31306000000000,127826356,19062,12/29/19 16:06
31314800000000,89768730,187560,12/29/19 18:33
31263300000000,40263988,240709,12/29/19 4:14
31248100000000,143281052,46591,12/29/19 0:01
31372900000000,61556313,246472,12/30/19 10:42
31376300000000,142201090,409876,12/30/19 11:38
31392800000000,57285019,881574,12/30/19 16:12
31379900000000,100489551,88105,12/30/19 12:38
31384700000000,130101638,218494,12/30/19 13:57
31365200000000,69979628,26661,12/30/19 8:33
31460300000000,44267597,629986,12/31/19 10:58
31479000000000,138785676,479766,12/31/19 16:10
31426400000000,81087553,184017,12/31/19 1:33
31469100000000,147941492,725304,12/31/19 13:25
31468900000000,143246658,910702,12/31/19 13:22
31444700000000,147941492,954952,12/31/19 6:38
